ID,Timestamp,Class,Category,Confidence
1,2025-11-29 13:07:27,banana_peel,Organic,0.68
2,2025-11-29 13:07:33,banana_peel,Organic,0.68
3,2025-11-29 13:07:47,banana_peel,Organic,0.86
4,2025-11-29 13:07:48,banana_peel,Organic,0.78
5,2025-11-29 13:07:48,banana_peel,Organic,0.69
6,2025-11-29 13:07:48,banana_peel,Organic,0.73
7,2025-11-29 13:07:48,banana_peel,Organic,0.68
8,2025-11-29 13:07:48,banana_peel,Organic,0.82
9,2025-11-29 13:07:48,banana_peel,Organic,0.78
10,2025-11-29 13:07:48,banana_peel,Organic,0.86
11,2025-11-29 13:07:48,banana_peel,Organic,0.82
12,2025-11-29 13:07:48,banana_peel,Organic,0.91
13,2025-11-29 13:07:48,banana_peel,Organic,0.84
14,2025-11-29 13:07:48,banana_peel,Organic,0.91
15,2025-11-29 13:07:48,banana_peel,Organic,0.83
16,2025-11-29 13:07:48,banana_peel,Organic,0.91
17,2025-11-29 13:07:48,banana_peel,Organic,0.76
18,2025-11-29 13:07:49,banana_peel,Organic,0.9
19,2025-11-29 13:07:49,banana_peel,Organic,0.76
20,2025-11-29 13:07:49,banana_peel,Organic,0.92
21,2025-11-29 13:07:49,banana_peel,Organic,0.8
22,2025-11-29 13:07:49,banana_peel,Organic,0.91
23,2025-11-29 13:07:49,banana_peel,Organic,0.86
24,2025-11-29 13:07:49,banana_peel,Organic,0.88
25,2025-11-29 13:07:49,can,Inorganic,0.84
26,2025-11-29 13:07:49,banana_peel,Organic,0.83
27,2025-11-29 13:07:49,can,Inorganic,0.91
28,2025-11-29 13:07:49,banana_peel,Organic,0.89
29,2025-11-29 13:07:49,banana_peel,Organic,0.62
30,2025-11-29 13:07:49,can,Inorganic,0.92
31,2025-11-29 13:07:49,banana_peel,Organic,0.89
32,2025-11-29 13:07:49,can,Inorganic,0.93
33,2025-11-29 13:07:49,banana_peel,Organic,0.9
34,2025-11-29 13:07:49,can,Inorganic,0.94
35,2025-11-29 13:07:49,banana_peel,Organic,0.87
36,2025-11-29 13:07:50,can,Inorganic,0.95
37,2025-11-29 13:07:50,banana_peel,Organic,0.83
38,2025-11-29 13:07:50,can,Inorganic,0.93
39,2025-11-29 13:07:50,can,Inorganic,0.92
40,2025-11-29 13:07:50,can,Inorganic,0.91
41,2025-11-29 13:07:50,can,Inorganic,0.85
42,2025-11-29 13:07:51,can,Inorganic,0.8
43,2025-11-29 13:07:51,can,Inorganic,0.82
44,2025-11-29 13:07:51,can,Inorganic,0.84
45,2025-11-29 13:07:52,can,Inorganic,0.83
46,2025-11-29 13:07:52,can,Inorganic,0.86
47,2025-11-29 13:07:52,can,Inorganic,0.83
48,2025-11-29 13:07:52,can,Inorganic,0.83
49,2025-11-29 13:07:52,can,Inorganic,0.84
50,2025-11-29 13:07:52,can,Inorganic,0.86
51,2025-11-29 13:07:52,can,Inorganic,0.91
52,2025-11-29 13:07:52,can,Inorganic,0.77
53,2025-11-29 13:07:53,can,Inorganic,0.81
54,2025-11-29 13:07:53,can,Inorganic,0.81
55,2025-11-29 13:07:53,can,Inorganic,0.91
56,2025-11-29 13:07:53,can,Inorganic,0.64
57,2025-11-29 13:07:53,can,Inorganic,0.87
58,2025-11-29 13:07:53,can,Inorganic,0.88
59,2025-11-29 13:07:53,can,Inorganic,0.67
60,2025-11-29 13:07:54,can,Inorganic,0.59
61,2025-11-29 13:07:54,can,Inorganic,0.65
62,2025-11-29 13:07:54,banana_peel,Organic,0.72
63,2025-11-29 13:07:57,banana_peel,Organic,0.86
64,2025-11-29 13:07:57,banana_peel,Organic,0.5
65,2025-11-29 13:07:57,banana_peel,Organic,0.78
66,2025-11-29 13:07:57,banana_peel,Organic,0.74
67,2025-11-29 13:07:58,banana_peel,Organic,0.79
68,2025-11-29 13:07:58,banana_peel,Organic,0.66
69,2025-11-29 13:07:58,banana_peel,Organic,0.78
70,2025-11-29 13:07:58,banana_peel,Organic,0.73
71,2025-11-29 13:07:58,banana_peel,Organic,0.86
72,2025-11-29 13:07:58,banana_peel,Organic,0.83
73,2025-11-29 13:07:58,banana_peel,Organic,0.89
74,2025-11-29 13:07:58,banana_peel,Organic,0.87
75,2025-11-29 13:07:58,banana_peel,Organic,0.91
76,2025-11-29 13:07:58,banana_peel,Organic,0.8
77,2025-11-29 13:07:58,banana_peel,Organic,0.92
78,2025-11-29 13:07:58,banana_peel,Organic,0.73
79,2025-11-29 13:07:58,can,Inorganic,0.39
80,2025-11-29 13:07:58,can,Inorganic,0.16
81,2025-11-29 13:07:58,banana_peel,Organic,0.91
82,2025-11-29 13:07:58,banana_peel,Organic,0.78
83,2025-11-29 13:07:58,can,Inorganic,0.16
84,2025-11-29 13:07:59,banana_peel,Organic,0.9
85,2025-11-29 13:07:59,banana_peel,Organic,0.83
86,2025-11-29 13:07:59,banana_peel,Organic,0.92
87,2025-11-29 13:07:59,banana_peel,Organic,0.84
88,2025-11-29 13:07:59,can,Inorganic,0.45
89,2025-11-29 13:07:59,banana_peel,Organic,0.88
90,2025-11-29 13:07:59,banana_peel,Organic,0.84
91,2025-11-29 13:07:59,can,Inorganic,0.71
92,2025-11-29 13:07:59,banana_peel,Organic,0.88
93,2025-11-29 13:07:59,can,Inorganic,0.88
94,2025-11-29 13:07:59,banana_peel,Organic,0.82
95,2025-11-29 13:07:59,can,Inorganic,0.92
96,2025-11-29 13:07:59,banana_peel,Organic,0.9
97,2025-11-29 13:07:59,banana_peel,Organic,0.24
98,2025-11-29 13:07:59,can,Inorganic,0.91
99,2025-11-29 13:07:59,banana_peel,Organic,0.9
100,2025-11-29 13:07:59,can,Inorganic,0.17
101,2025-11-29 13:07:59,can,Inorganic,0.94
102,2025-11-29 13:07:59,banana_peel,Organic,0.87
103,2025-11-29 13:08:00,can,Inorganic,0.94
104,2025-11-29 13:08:00,banana_peel,Organic,0.87
105,2025-11-29 13:08:00,can,Inorganic,0.95
106,2025-11-29 13:08:00,banana_peel,Organic,0.64
107,2025-11-29 13:08:00,can,Inorganic,0.93
108,2025-11-29 13:08:00,banana_peel,Organic,0.37
109,2025-11-29 13:08:00,can,Inorganic,0.94
110,2025-11-29 13:08:00,can,Inorganic,0.77
111,2025-11-29 13:08:00,can,Inorganic,0.87
112,2025-11-29 13:08:00,banana_peel,Organic,0.15
113,2025-11-29 13:08:00,banana_peel,Organic,0.24
114,2025-11-29 13:08:00,can,Inorganic,0.19
115,2025-11-29 13:08:00,banana_peel,Organic,0.15
116,2025-11-29 13:08:01,banana_peel,Organic,0.26
117,2025-11-29 13:08:01,can,Inorganic,0.73
118,2025-11-29 13:08:01,can,Inorganic,0.82
119,2025-11-29 13:08:01,can,Inorganic,0.87
120,2025-11-29 13:08:01,can,Inorganic,0.86
121,2025-11-29 13:08:02,can,Inorganic,0.83
122,2025-11-29 13:08:02,can,Inorganic,0.82
123,2025-11-29 13:08:02,can,Inorganic,0.86
124,2025-11-29 13:08:02,can,Inorganic,0.8
125,2025-11-29 13:08:02,can,Inorganic,0.86
126,2025-11-29 13:08:02,can,Inorganic,0.88
127,2025-11-29 13:08:02,can,Inorganic,0.13
128,2025-11-29 13:08:02,can,Inorganic,0.87
129,2025-11-29 13:08:02,can,Inorganic,0.42
130,2025-11-29 13:08:03,can,Inorganic,0.85
131,2025-11-29 13:08:03,can,Inorganic,0.43
132,2025-11-29 13:08:03,can,Inorganic,0.86
133,2025-11-29 13:08:03,can,Inorganic,0.24
134,2025-11-29 13:08:03,banana_peel,Organic,0.24
135,2025-11-29 13:08:03,can,Inorganic,0.87
136,2025-11-29 13:08:03,can,Inorganic,0.28
137,2025-11-29 13:08:03,can,Inorganic,0.91
138,2025-11-29 13:08:03,can,Inorganic,0.67
139,2025-11-29 13:08:03,banana_peel,Organic,0.14
140,2025-11-29 13:08:03,can,Inorganic,0.87
141,2025-11-29 13:08:03,can,Inorganic,0.87
142,2025-11-29 13:08:03,can,Inorganic,0.14
143,2025-11-29 13:08:03,can,Inorganic,0.18
144,2025-11-29 13:08:03,can,Inorganic,0.14
145,2025-11-29 13:08:04,can,Inorganic,0.67
146,2025-11-29 13:08:04,can,Inorganic,0.65
147,2025-11-29 13:08:04,can,Inorganic,0.66
148,2025-11-29 13:08:04,banana_peel,Organic,0.49
149,2025-11-29 13:08:04,banana_peel,Organic,0.73
150,2025-11-29 13:08:04,can,Inorganic,0.36
151,2025-11-29 13:08:04,banana_peel,Organic,0.59
152,2025-11-29 13:08:04,can,Inorganic,0.12
153,2025-11-29 13:08:04,can,Inorganic,0.51
154,2025-11-29 13:08:05,can,Inorganic,0.37
155,2025-11-29 13:08:05,banana_peel,Organic,0.15
156,2025-11-29 13:08:05,can,Inorganic,0.34
157,2025-11-29 13:08:05,banana_peel,Organic,0.23
158,2025-11-29 13:08:05,banana_peel,Organic,0.37
159,2025-11-29 13:08:05,banana_peel,Organic,0.23
160,2025-11-29 13:08:05,banana_peel,Organic,0.2
161,2025-11-29 13:08:11,banana_peel,Organic,0.86
162,2025-11-29 13:08:11,banana_peel,Organic,0.5
163,2025-11-29 13:08:11,banana_peel,Organic,0.78
164,2025-11-29 13:08:11,banana_peel,Organic,0.74
165,2025-11-29 13:08:11,banana_peel,Organic,0.79
166,2025-11-29 13:08:11,banana_peel,Organic,0.66
167,2025-11-29 13:08:12,banana_peel,Organic,0.78
168,2025-11-29 13:08:12,banana_peel,Organic,0.73
169,2025-11-29 13:08:12,banana_peel,Organic,0.79
170,2025-11-29 13:08:12,banana_peel,Organic,0.78
171,2025-11-29 13:08:12,banana_peel,Organic,0.86
172,2025-11-29 13:08:12,banana_peel,Organic,0.82
173,2025-11-29 13:08:12,banana_peel,Organic,0.91
174,2025-11-29 13:08:12,banana_peel,Organic,0.84
175,2025-11-29 13:08:12,banana_peel,Organic,0.91
176,2025-11-29 13:08:12,banana_peel,Organic,0.82
177,2025-11-29 13:08:12,banana_peel,Organic,0.91
178,2025-11-29 13:08:12,banana_peel,Organic,0.76
179,2025-11-29 13:08:12,banana_peel,Organic,0.9
180,2025-11-29 13:08:12,banana_peel,Organic,0.76
181,2025-11-29 13:08:12,banana_peel,Organic,0.92
182,2025-11-29 13:08:12,banana_peel,Organic,0.8
183,2025-11-29 13:08:13,banana_peel,Organic,0.91
184,2025-11-29 13:08:13,banana_peel,Organic,0.86
185,2025-11-29 13:08:13,can,Inorganic,0.48
186,2025-11-29 13:08:13,banana_peel,Organic,0.88
187,2025-11-29 13:08:13,can,Inorganic,0.84
188,2025-11-29 13:08:13,banana_peel,Organic,0.83
189,2025-11-29 13:08:13,can,Inorganic,0.92
190,2025-11-29 13:08:13,banana_peel,Organic,0.9
191,2025-11-29 13:08:13,can,Inorganic,0.91
192,2025-11-29 13:08:13,banana_peel,Organic,0.9
193,2025-11-29 13:08:13,can,Inorganic,0.94
194,2025-11-29 13:08:13,banana_peel,Organic,0.87
195,2025-11-29 13:08:13,can,Inorganic,0.94
196,2025-11-29 13:08:13,banana_peel,Organic,0.87
197,2025-11-29 13:08:13,can,Inorganic,0.95
198,2025-11-29 13:08:13,banana_peel,Organic,0.64
199,2025-11-29 13:08:14,can,Inorganic,0.93
200,2025-11-29 13:08:14,can,Inorganic,0.94
201,2025-11-29 13:08:14,can,Inorganic,0.77
202,2025-11-29 13:08:14,can,Inorganic,0.68
203,2025-11-29 13:08:15,can,Inorganic,0.73
204,2025-11-29 13:08:15,can,Inorganic,0.82
205,2025-11-29 13:08:15,can,Inorganic,0.87
206,2025-11-29 13:08:15,can,Inorganic,0.86
207,2025-11-29 13:08:15,can,Inorganic,0.83
208,2025-11-29 13:08:16,can,Inorganic,0.82
209,2025-11-29 13:08:16,can,Inorganic,0.86
210,2025-11-29 13:08:16,can,Inorganic,0.84
211,2025-11-29 13:08:16,can,Inorganic,0.88
212,2025-11-29 13:08:16,can,Inorganic,0.88
213,2025-11-29 13:08:16,can,Inorganic,0.87
214,2025-11-29 13:08:16,can,Inorganic,0.85
215,2025-11-29 13:08:16,can,Inorganic,0.86
216,2025-11-29 13:08:17,can,Inorganic,0.87
217,2025-11-29 13:08:17,can,Inorganic,0.87
218,2025-11-29 13:08:17,can,Inorganic,0.62
219,2025-11-29 13:08:17,can,Inorganic,0.88
220,2025-11-29 13:08:17,can,Inorganic,0.89
221,2025-11-29 13:08:17,can,Inorganic,0.87
222,2025-11-29 13:08:17,can,Inorganic,0.59
223,2025-11-29 13:08:17,can,Inorganic,0.56
224,2025-11-29 13:08:17,can,Inorganic,0.65
225,2025-11-29 13:08:18,banana_peel,Organic,0.72
226,2025-11-29 13:08:18,banana_peel,Organic,0.57
227,2025-11-29 13:08:18,can,Inorganic,0.51
228,2025-11-29 13:08:20,banana_peel,Organic,0.86
229,2025-11-29 13:08:20,banana_peel,Organic,0.5
230,2025-11-29 13:08:21,banana_peel,Organic,0.78
231,2025-11-29 13:08:21,banana_peel,Organic,0.74
232,2025-11-29 13:08:21,banana_peel,Organic,0.79
233,2025-11-29 13:08:21,banana_peel,Organic,0.66
234,2025-11-29 13:08:21,banana_peel,Organic,0.78
235,2025-11-29 13:08:21,banana_peel,Organic,0.73
236,2025-11-29 13:08:21,banana_peel,Organic,0.79
237,2025-11-29 13:08:21,banana_peel,Organic,0.78
238,2025-11-29 13:08:21,banana_peel,Organic,0.86
239,2025-11-29 13:08:21,banana_peel,Organic,0.82
240,2025-11-29 13:08:21,banana_peel,Organic,0.91
241,2025-11-29 13:08:21,banana_peel,Organic,0.84
242,2025-11-29 13:08:21,banana_peel,Organic,0.91
243,2025-11-29 13:08:21,banana_peel,Organic,0.83
244,2025-11-29 13:08:21,banana_peel,Organic,0.91
245,2025-11-29 13:08:21,banana_peel,Organic,0.76
246,2025-11-29 13:08:22,banana_peel,Organic,0.9
247,2025-11-29 13:08:22,banana_peel,Organic,0.76
248,2025-11-29 13:08:22,banana_peel,Organic,0.92
249,2025-11-29 13:08:22,banana_peel,Organic,0.8
250,2025-11-29 13:08:22,banana_peel,Organic,0.91
251,2025-11-29 13:08:22,banana_peel,Organic,0.86
252,2025-11-29 13:08:22,can,Inorganic,0.48
253,2025-11-29 13:08:22,banana_peel,Organic,0.88
254,2025-11-29 13:08:22,can,Inorganic,0.84
255,2025-11-29 13:08:22,banana_peel,Organic,0.83
256,2025-11-29 13:08:22,can,Inorganic,0.91
257,2025-11-29 13:08:22,banana_peel,Organic,0.89
258,2025-11-29 13:08:22,banana_peel,Organic,0.62
259,2025-11-29 13:08:22,can,Inorganic,0.92
260,2025-11-29 13:08:22,banana_peel,Organic,0.9
261,2025-11-29 13:08:22,can,Inorganic,0.93
262,2025-11-29 13:08:22,banana_peel,Organic,0.9
263,2025-11-29 13:08:23,can,Inorganic,0.94
264,2025-11-29 13:08:23,banana_peel,Organic,0.87
265,2025-11-29 13:08:23,can,Inorganic,0.95
266,2025-11-29 13:08:23,banana_peel,Organic,0.83
267,2025-11-29 13:08:23,can,Inorganic,0.93
268,2025-11-29 13:08:23,banana_peel,Organic,0.47
269,2025-11-29 13:08:23,can,Inorganic,0.94
270,2025-11-29 13:08:23,can,Inorganic,0.77
271,2025-11-29 13:08:23,can,Inorganic,0.87
272,2025-11-29 13:08:23,can,Inorganic,0.49
273,2025-11-29 13:08:24,banana_peel,Organic,0.7
274,2025-11-29 13:08:24,can,Inorganic,0.74
275,2025-11-29 13:08:24,can,Inorganic,0.88
276,2025-11-29 13:08:25,can,Inorganic,0.86
277,2025-11-29 13:08:25,can,Inorganic,0.83
278,2025-11-29 13:08:25,can,Inorganic,0.82
279,2025-11-29 13:08:25,can,Inorganic,0.86
280,2025-11-29 13:08:25,can,Inorganic,0.8
281,2025-11-29 13:08:25,can,Inorganic,0.86
282,2025-11-29 13:08:25,can,Inorganic,0.85
283,2025-11-29 13:08:25,can,Inorganic,0.87
284,2025-11-29 13:08:26,can,Inorganic,0.85
285,2025-11-29 13:08:26,can,Inorganic,0.86
286,2025-11-29 13:08:26,can,Inorganic,0.87
287,2025-11-29 13:08:26,can,Inorganic,0.87
288,2025-11-29 13:08:26,can,Inorganic,0.62
289,2025-11-29 13:08:26,can,Inorganic,0.88
290,2025-11-29 13:08:26,can,Inorganic,0.89
291,2025-11-29 13:08:26,can,Inorganic,0.87
292,2025-11-29 13:08:27,can,Inorganic,0.59
293,2025-11-29 13:08:27,can,Inorganic,0.56
294,2025-11-29 13:08:27,can,Inorganic,0.65
295,2025-11-29 13:08:27,banana_peel,Organic,0.72
296,2025-11-29 13:08:27,banana_peel,Organic,0.57
297,2025-11-29 13:08:28,can,Inorganic,0.53
